alpha,beta,z ratio,smooth ratio
279387.46217111876,59926.748789442565,-1.2733473267838322,0.24159253453063143
279387.46217111876,59926.748789442565,-1.2733473267838322,0.2355995979079725
262682.19628895953,58122.85638210073,-1.3021155257448722,0.22948674997355345
247779.11229162454,56319.69939619941,-1.3262879777295609,0.2233808755329591
236211.18907653756,55109.585825370836,-1.3491264473714848,0.21731462679537605
230037.6404079446,54172.076958177386,-1.357145816833328,0.21165451869500526
230037.6404079446,54172.076958177386,-1.357145816833328,0.20656042140467154
222611.92569434966,53350.81963969817,-1.3720256709522018,0.20160373749039934
217167.38367484778,52437.714200797804,-1.3783087834510221,0.19698564415508385
213911.0357921907,51948.335803864466,-1.3830799997600585,0.192710079745574
212375.26853733894,51550.96352172684,-1.3826869577991248,0.1888718978260385
211450.87536147985,51334.4739976018,-1.382814644556601,0.18541434192951964
211450.87536147985,51334.4739976018,-1.382814644556601,0.18230254162265266
211841.80897779344,51066.84106399793,-1.3769201233479906,0.17964928437668765
212670.00840470343,50954.809903637004,-1.3718053820304617,0.17738922138825736
213931.86734843193,50920.54890364015,-1.3662441850544198,0.17549419462307114
213931.86734843193,50920.54890364015,-1.3662441850544198,0.17378867053440353
215937.91292185773,50963.660697468506,-1.3590262412555527,0.17243414744957436
218512.83122317627,51077.03264185146,-1.3507602425299923,0.17142172664136712
218512.83122317627,51077.03264185146,-1.3507602425299923,0.17051054791398063
222682.36247860742,51267.10642335173,-1.3375636456963462,0.1700204019801739
222682.36247860742,51267.10642335173,-1.3375636456963462,0.16957927063974787
225116.889500427,51361.84099099546,-1.3296241270187836,0.1693807404003035
227613.92228768146,51628.948204428416,-1.324445879969867,0.16933151936102647
227613.92228768146,51628.948204428416,-1.324445879969867,0.16928722042567715
229684.42675318356,51697.38070238285,-1.3175491583214174,0.169419769425074
231328.8529171511,51915.07419449647,-1.3149196073808973,0.16960480229804417
232989.1016208196,51983.371160839946,-1.309661845143797,0.1699027759396448
232989.1016208196,51983.371160839946,-1.309661845143797,0.1701709522170854
234943.32115119064,52248.94625973913,-1.3067147308183122,0.17048598872491907
236478.79568789405,52318.757920708675,-1.3020083508128177,0.1708871810821067
237465.9561675055,52502.262954497135,-1.3014027982293188,0.17126339301816307
237465.9561675055,52502.262954497135,-1.3014027982293188,0.17160198376061378
238687.6862261054,52550.83540521401,-1.2975592269224743,0.17200280471149057
239781.15891535705,52745.315690181735,-1.2967561669724368,0.1723836200660306
240751.9167648656,52837.704246841924,-1.2946550662523235,0.17277888140311948
240751.9167648656,52837.704246841924,-1.2946550662523235,0.17313461660649945
241819.91131832718,52999.11437755463,-1.2933903189858158,0.1734863969712041
241819.91131832718,52999.11437755463,-1.2933903189858158,0.1738029992994383
242190.37954666663,53089.86644690074,-1.2935558889974712,0.17408380214455768
242599.70931799972,53191.79708074512,-1.293766841004892,0.1743312509049796
242461.2338306557,53207.79112687836,-1.2945677900764314,0.17453393106257087
242461.2338306557,53207.79112687836,-1.2945677900764314,0.17471634320440302
